1732389551.452549, TCP, 14:13:33:73:1a:5b, 16:eb:dd:10:32:d5, 192.168.1.103, 192.168.1.106, 57538, 8009, 164
1732389551.4695518, TCP, 16:eb:dd:10:32:d5, 14:13:33:73:1a:5b, 192.168.1.106, 192.168.1.103, 8009, 57538, 164
1732389551.5165415, TCP, 14:13:33:73:1a:5b, 16:eb:dd:10:32:d5, 192.168.1.103, 192.168.1.106, 57538, 8009, 54
1732389553.1036758, UDP, a8:80:55:ef:95:09, ff:ff:ff:ff:ff:ff, 192.168.1.115, 255.255.255.255, 53813, 6667, 214
1732389553.2055953, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 38857, 1900, 290
1732389553.2066984, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 38857, 1900, 279
1732389553.2066984, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 38857, 1900, 346
1732389553.308598, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 38857, 1900, 344
1732389553.41158, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 38857, 1900, 354
1732389553.5135798, UDP, ae:a9:bc:73:64:75, 01:00:5e:7f:ff:fa, 192.168.1.102, 239.255.255.250, 56144, 1900, 167
1732389553.6155922, UDP, ae:a9:bc:73:64:75, 01:00:5e:7f:ff:fa, 192.168.1.102, 239.255.255.250, 56144, 1900, 167
1732389553.6155922, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 38857, 1900, 290
1732389553.718582, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 38857, 1900, 279
1732389553.719674, UDP, ae:a9:bc:73:64:75, 01:00:5e:7f:ff:fa, 192.168.1.102, 239.255.255.250, 56144, 1900, 167
1732389553.719674, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 38857, 1900, 346
1732389553.8206549, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 38857, 1900, 344
1732389553.8215945, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 38857, 1900, 356
1732389553.922588, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 38857, 1900, 354
1732389554.1278765, UDP, ae:a9:bc:73:64:75, 01:00:5e:00:00:fb, 192.168.1.102, 224.0.0.251, 5353, 5353, 91
1732389554.1278765, Other, ae:a9:bc:73:64:75, 33:33:00:00:00:fb, , , , , 111
1732389555.049425, IP, 8c:ec:7b:8e:07:14, 01:00:5e:00:00:fb, 192.168.1.108, 224.0.0.251, , , 60
1732389555.1512215, UDP, 8c:ec:7b:8e:07:14, 01:00:5e:00:00:fb, 192.168.1.108, 224.0.0.251, 5353, 5353, 100
1732389555.1522532, Other, 8c:ec:7b:8e:07:14, 33:33:00:00:00:fb, , , , , 120
1732389556.175846, UDP, 8c:ec:7b:8e:07:14, 01:00:5e:00:00:fb, 192.168.1.108, 224.0.0.251, 5353, 5353, 100
1732389556.175846, Other, 8c:ec:7b:8e:07:14, 33:33:00:00:00:fb, , , , , 120
1732389556.3808517, UDP, 4c:a9:19:75:fb:25, ff:ff:ff:ff:ff:ff, 192.168.1.114, 255.255.255.255, 49566, 6667, 214
1732389556.472848, TCP, 14:13:33:73:1a:5b, 16:eb:dd:10:32:d5, 192.168.1.103, 192.168.1.106, 57538, 8009, 164
1732389556.4858484, TCP, 16:eb:dd:10:32:d5, 14:13:33:73:1a:5b, 192.168.1.106, 192.168.1.103, 8009, 57538, 164
1732389556.5368483, TCP, 14:13:33:73:1a:5b, 16:eb:dd:10:32:d5, 192.168.1.103, 192.168.1.106, 57538, 8009, 54
1732389556.7898493, UDP, ae:a9:bc:73:64:75, 01:00:5e:7f:ff:fa, 192.168.1.102, 239.255.255.250, 56144, 1900, 167
1732389556.7898493, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 52978, 1900, 290
1732389556.790849, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 52978, 1900, 279
1732389556.8928518, UDP, ae:a9:bc:73:64:75, 01:00:5e:7f:ff:fa, 192.168.1.102, 239.255.255.250, 56144, 1900, 167
1732389556.8928518, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 52978, 1900, 346
1732389556.893849, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 52978, 1900, 344
1732389556.9948528, UDP, ae:a9:bc:73:64:75, 01:00:5e:7f:ff:fa, 192.168.1.102, 239.255.255.250, 56144, 1900, 167
1732389556.9948528, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 52978, 1900, 356
1732389556.99584, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 52978, 1900, 354
1732389557.3018396, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 52978, 1900, 290
1732389557.40493, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 52978, 1900, 346
1732389557.4058921, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 52978, 1900, 344
1732389557.506855, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 52978, 1900, 356
1732389557.50784, UDP, 16:eb:dd:10:32:d5, 01:00:5e:7f:ff:fa, 192.168.1.106, 239.255.255.250, 52978, 1900, 354
1732389558.1216123, UDP, a8:80:55:ef:95:09, ff:ff:ff:ff:ff:ff, 192.168.1.115, 255.255.255.255, 53813, 6667, 214
1732389559.1459503, UDP, 8c:ec:7b:8e:07:14, 01:00:5e:00:00:fb, 192.168.1.108, 224.0.0.251, 5353, 5353, 100
